transaction_id,date,product_id,customer_id,quantity,unit_price,region,sales_rep,payment_method,total_amount,first_name,last_name,email,phone,city,state,signup_date,customer_segment,total_purchases,lifetime_value,product_name,category,subcategory,cost_price,retail_price,stock_quantity,supplier,weight_kg,is_active,profit_margin
TXN000211,2024-01-08,PRD019,CUST0135,2,471.94,South,Jennifer Davis,Debit Card,943.88,Karen,Taylor,barbara.taylor@email.com,(903) 686-4860,New York,IL,2022-12-05,Basic,41,9675.98,Kitchen Appliances A,Home & Garden,Kitchen Appliances,54.05,214.47,23.0,Supplier A,1.38,True,74.8
TXN000663,2024-01-08,PRD049,CUST0048,8,287.98,East,Jennifer Davis,Credit Card,2303.84,David,Hernandez,jessica.williams@email.com,(552) 779-9231,Houston,GA,2022-01-29,Basic,22,8257.58,,,,,,,,,,
TXN000871,2024-01-08,PRD037,CUST0097,6,272.3,West,Robert Garcia,Debit Card,1633.8000000000002,Susan,Garcia,robert.gonzalez@email.com,(370) 623-9078,Los Angeles,NC,2023-03-02,Standard,7,7464.66,Children's Books A,Books,Children's Books,188.38,300.82,258.0,Supplier B,4.82,True,37.38
TXN000627,2024-01-09,PRD006,CUST0154,2,294.28,Central,Lisa Martinez,Debit Card,588.56,Daniel,Rodriguez,james.johnson@email.com,(492) 748-6633,Los Angeles,PA,2023-08-22,Basic,34,1616.13,Tablet B,Electronics,Tablet,334.28,486.96,183.0,Supplier D,1.55,True,31.35
TXN000131,2024-01-10,PRD044,CUST0099,9,118.39,South,Lisa Martinez,Cash,1065.51,Jessica,Anderson,barbara.moore@email.com,(584) 303-8855,San Jose,OH,2023-11-07,Basic,6,4295.32,Accessories B,Clothing,Accessories,277.78,461.78,67.0,Supplier B,2.57,True,39.85
TXN000539,2024-01-10,PRD006,CUST0009,7,231.58,Central,John Smith,Credit Card,1621.0600000000002,John,Wilson,richard.taylor@email.com,(359) 308-3693,Chicago,CA,2022-08-26,Basic,25,9560.93,Tablet B,Electronics,Tablet,334.28,486.96,183.0,Supplier D,1.55,True,31.35
TXN000162,2024-01-11,PRD042,CUST0133,6,397.45,West,Lisa Martinez,Credit Card,2384.7,Jennifer,Thomas,daniel.smith@email.com,(766) 262-7342,Philadelphia,NC,2022-10-19,Premium,20,4877.75,Women's Wear B,Clothing,Women's Wear,388.49,234.63,68.0,Supplier B,2.12,True,-65.58
TXN000756,2024-01-11,PRD045,CUST0005,8,124.97,Central,John Smith,Cash,999.76,James,Moore,william.lee@email.com,(522) 602-6345,Philadelphia,PA,2023-03-18,Standard,2,3835.9,Shoes A,Clothing,Shoes,287.04,383.98,287.0,Supplier D,2.96,False,25.25
TXN000548,2024-01-11,PRD012,CUST0166,2,476.39,Central,Sarah Wilson,Credit Card,952.78,Barbara,Lee,patricia.taylor@email.com,(961) 653-6257,Houston,AZ,2022-07-18,Basic,44,3345.64,Camera B,Electronics,Camera,47.05,382.73,23.0,Supplier A,4.27,True,87.71
TXN000496,2024-01-11,PRD039,CUST0043,7,436.67,East,Robert Garcia,Credit Card,3056.69,Patricia,Rodriguez,lisa.white@email.com,(592) 340-7868,San Jose,FL,2022-05-26,Premium,9,3068.99,Men's Wear A,Clothing,Men's Wear,370.5,393.82,466.0,Supplier B,3.49,True,5.92
TXN000942,2024-01-12,PRD005,CUST0199,9,69.48,East,David Lee,Credit Card,625.32,Patricia,Jones,lisa.williams@email.com,(838) 606-2676,New York,FL,2022-05-03,Standard,32,3097.47,Tablet A,Electronics,Tablet,120.26,395.61,254.0,Supplier B,3.08,True,69.6
TXN000431,2024-01-13,PRD005,CUST0150,8,49.26,North,David Lee,Debit Card,394.08,Lisa,Davis,jennifer.rodriguez@email.com,(917) 838-9561,San Diego,IL,2023-05-15,Standard,22,2499.3,Tablet A,Electronics,Tablet,120.26,395.61,254.0,Supplier B,3.08,True,69.6
TXN000338,2024-01-13,PRD015,CUST0002,4,343.44,Central,Lisa Martinez,Debit Card,1373.76,Karen,Davis,nancy.gonzalez@email.com,(276) 806-2020,San Antonio,TX,2022-03-10,Standard,14,1642.16,Lighting A,Home & Garden,Lighting,116.01,202.07,435.0,Supplier D,4.02,True,42.59
TXN000356,2024-01-13,PRD046,CUST0147,1,190.58,East,Mary Johnson,Credit Card,190.58,William,Wilson,barbara.johnson@email.com,(597) 769-7510,Los Angeles,NY,2023-12-28,Basic,25,109.34,Shoes B,Clothing,Shoes,272.95,448.53,273.0,Supplier C,4.4,False,39.15
TXN000997,2024-01-13,PRD006,CUST0023,1,299.27,South,Sarah Wilson,Wire Transfer,299.27,Jessica,Anderson,david.moore@email.com,(296) 673-2669,Phoenix,PA,2022-07-21,Basic,4,6313.92,Tablet B,Electronics,Tablet,334.28,486.96,183.0,Supplier D,1.55,True,31.35
TXN000002,2024-01-13,PRD030,CUST0149,4,339.23,West,Sarah Wilson,Credit Card,1356.92,Thomas,Lee,jennifer.lopez@email.com,(732) 669-1202,Chicago,GA,2023-04-22,Standard,46,9775.11,Sports Accessories B,Sports,Sports Accessories,331.87,411.05,432.0,Supplier D,1.73,False,19.26
TXN000517,2024-01-14,PRD010,CUST0144,8,221.13,West,Sarah Wilson,PayPal,1769.04,Patricia,Anderson,charles.lee@email.com,(406) 842-3422,Houston,NY,2023-06-20,Standard,38,4522.59,Smart Watch B,Electronics,Smart Watch,188.13,488.99,135.0,Supplier D,0.35,True,61.53
TXN000519,2024-01-14,PRD020,CUST0173,6,312.4,Central,Lisa Martinez,PayPal,1874.4,Patricia,Johnson,john.moore@email.com,(267) 518-9303,San Antonio,FL,2023-01-16,Standard,10,8709.53,Kitchen Appliances B,Home & Garden,Kitchen Appliances,14.82,436.14,268.0,Supplier B,4.89,True,96.6
TXN000753,2024-01-14,PRD050,CUST0057,8,335.81,Central,Mary Johnson,Credit Card,2686.48,Robert,Anderson,linda.gonzalez@email.com,(746) 954-1916,Los Angeles,GA,2022-02-27,Standard,33,350.95,,,,,,,,,,
TXN000563,2024-01-14,PRD048,CUST0046,9,339.58,Central,Robert Garcia,Credit Card,3056.22,James,Taylor,daniel.brown@email.com,(219) 591-6883,San Antonio,IL,2022-01-01,Standard,22,6991.19,,,,,,,,,,
TXN000016,2024-01-14,PRD035,CUST0198,2,110.44,East,David Lee,Cash,220.88,Christopher,Davis,barbara.anderson@email.com,(677) 509-9530,San Antonio,NY,2023-11-13,Basic,22,1300.9,Educational A,Books,Educational,94.08,414.91,97.0,Supplier C,0.63,False,77.33
TXN000806,2024-01-15,PRD028,CUST0060,2,432.39,North,Lisa Martinez,Cash,864.78,Karen,Thompson,barbara.martinez@email.com,(442) 806-6210,Houston,IL,2023-03-07,Standard,4,651.83,Athletic Wear B,Sports,Athletic Wear,23.97,281.31,422.0,Supplier A,3.98,True,91.48
TXN000605,2024-01-15,PRD050,CUST0173,1,169.05,Central,Mary Johnson,Credit Card,169.05,Patricia,Johnson,john.moore@email.com,(267) 518-9303,San Antonio,FL,2023-01-16,Standard,10,8709.53,,,,,,,,,,
TXN000367,2024-01-15,PRD045,CUST0127,7,74.31,South,John Smith,Credit Card,520.1700000000001,John,Davis,karen.martin@email.com,(656) 245-5313,Dallas,IL,2023-08-22,Basic,22,1945.56,Shoes A,Clothing,Shoes,287.04,383.98,287.0,Supplier D,2.96,False,25.25
TXN000510,2024-01-15,PRD043,CUST0117,9,232.36,North,Jennifer Davis,Debit Card,2091.24,Thomas,Anderson,robert.moore@email.com,(203) 637-2435,San Jose,CA,2023-11-03,Standard,27,8070.46,Accessories A,Clothing,Accessories,338.8,280.69,160.0,Supplier B,1.08,True,-20.7
TXN000897,2024-01-15,PRD045,CUST0072,4,347.19,West,Sarah Wilson,Cash,1388.76,Jessica,Brown,michael.williams@email.com,(351) 800-3320,San Antonio,CA,2023-01-03,Basic,16,3146.02,Shoes A,Clothing,Shoes,287.04,383.98,287.0,Supplier D,2.96,False,25.25
TXN000011,2024-01-16,PRD020,CUST0011,8,363.91,North,John Smith,Debit Card,2911.28,Sarah,Davis,daniel.lopez@email.com,(616) 323-9780,San Jose,AZ,2023-01-22,Standard,29,3588.04,Kitchen Appliances B,Home & Garden,Kitchen Appliances,14.82,436.14,268.0,Supplier B,4.89,True,96.6
TXN000545,2024-01-16,PRD002,CUST0197,8,493.45,East,John Smith,Credit Card,3947.6,David,Jones,susan.white@email.com,(670) 458-4575,Phoenix,OH,2022-04-03,Standard,6,7288.24,Laptop B,Electronics,Laptop,183.28,74.94,129.0,Supplier D,3.54,True,-144.57
TXN000010,2024-01-17,PRD003,CUST0145,4,129.15,East,Jennifer Davis,Debit Card,516.6,James,Moore,john.thomas@email.com,(809) 464-6238,New York,IL,2023-12-14,Basic,14,1322.15,Smartphone A,Electronics,Smartphone,281.12,320.7,154.0,Supplier D,3.34,True,12.34
TXN000072,2024-01-17,PRD036,CUST0013,7,335.87,East,David Lee,Cash,2351.09,Charles,Lee,david.jackson@email.com,(662) 515-8591,New York,NY,2022-03-17,Premium,21,1873.04,Educational B,Books,Educational,28.14,322.12,344.0,Supplier A,3.88,False,91.26
TXN000170,2024-01-17,PRD027,CUST0082,6,20.42,West,John Smith,Debit Card,122.52,Michael,Jackson,lisa.martin@email.com,(587) 514-5825,Dallas,NY,2023-09-03,Standard,37,2035.03,Athletic Wear A,Sports,Athletic Wear,133.26,490.63,381.0,Supplier A,0.6,False,72.84
TXN000719,2024-01-17,PRD035,CUST0123,4,51.97,Central,Sarah Wilson,Credit Card,207.88,Daniel,Davis,susan.davis@email.com,(700) 876-5341,Philadelphia,CA,2022-05-21,Basic,24,4558.47,Educational A,Books,Educational,94.08,414.91,97.0,Supplier C,0.63,False,77.33
TXN000959,2024-01-18,PRD030,CUST0022,4,464.76,West,Mary Johnson,Debit Card,1859.04,William,Miller,david.martinez@email.com,(614) 663-5093,Chicago,CA,2023-08-01,Premium,2,3491.65,Sports Accessories B,Sports,Sports Accessories,331.87,411.05,432.0,Supplier D,1.73,False,19.26
TXN000318,2024-01-19,PRD001,CUST0190,3,484.75,West,David Lee,Credit Card,1454.25,David,Jones,patricia.miller@email.com,(867) 619-9409,New York,TX,2022-01-03,Premium,32,4410.42,Laptop A,Electronics,Laptop,268.17,331.98,10.0,Supplier A,3.48,False,19.22
TXN000780,2024-01-19,PRD042,CUST0165,1,229.13,West,Michael Brown,Credit Card,229.13,Robert,Martin,charles.lopez@email.com,(433) 337-5923,Dallas,OH,2022-09-22,Standard,16,1281.87,Women's Wear B,Clothing,Women's Wear,388.49,234.63,68.0,Supplier B,2.12,True,-65.58
TXN000862,2024-01-19,PRD039,CUST0176,5,369.47,North,Jennifer Davis,Credit Card,1847.35,Barbara,Moore,elizabeth.jackson@email.com,(397) 405-1944,San Jose,FL,2023-06-23,Premium,23,8490.72,Men's Wear A,Clothing,Men's Wear,370.5,393.82,466.0,Supplier B,3.49,True,5.92
TXN000885,2024-01-19,PRD034,CUST0025,4,83.52,East,John Smith,Credit Card,334.08,John,Wilson,charles.thomas@email.com,(263) 999-4641,Houston,NC,2023-11-04,Basic,39,1545.61,Non-Fiction B,Books,Non-Fiction,51.71,311.26,96.0,Supplier A,4.66,False,83.39
TXN000347,2024-01-20,PRD028,CUST0194,1,204.82,North,Jennifer Davis,PayPal,204.82,Daniel,Lee,daniel.rodriguez@email.com,(458) 822-6004,San Antonio,NC,2022-03-17,Standard,17,5323.12,Athletic Wear B,Sports,Athletic Wear,23.97,281.31,422.0,Supplier A,3.98,True,91.48
TXN000372,2024-01-20,PRD016,CUST0003,9,245.95,West,Sarah Wilson,Wire Transfer,2213.55,David,Taylor,jessica.jones@email.com,(645) 878-3141,Philadelphia,FL,2022-05-03,Standard,8,5515.75,Lighting B,Home & Garden,Lighting,54.09,352.64,30.0,Supplier B,0.61,False,84.66
TXN000749,2024-01-21,PRD035,CUST0081,9,57.37,South,Sarah Wilson,Credit Card,516.3299999999999,Charles,Jones,karen.martin@email.com,(428) 881-3872,San Diego,OH,2022-09-14,Basic,49,5392.14,Educational A,Books,Educational,94.08,414.91,97.0,Supplier C,0.63,False,77.33
TXN000544,2024-01-21,PRD024,CUST0035,5,82.69,East,John Smith,Cash,413.45,Linda,Brown,elizabeth.garcia@email.com,(230) 591-7990,Houston,GA,2023-03-05,Standard,16,3623.98,Fitness Equipment B,Sports,Fitness Equipment,39.2,253.45,123.0,Supplier C,4.85,True,84.53
TXN000956,2024-01-21,PRD042,CUST0150,4,331.67,Central,Jennifer Davis,Debit Card,1326.68,Lisa,Davis,jennifer.rodriguez@email.com,(917) 838-9561,San Diego,IL,2023-05-15,Standard,22,2499.3,Women's Wear B,Clothing,Women's Wear,388.49,234.63,68.0,Supplier B,2.12,True,-65.58
TXN000758,2024-01-21,PRD041,CUST0142,2,84.68,Central,David Lee,Wire Transfer,169.36,David,Moore,thomas.williams@email.com,(397) 329-1699,Philadelphia,CA,2023-02-06,Basic,18,7102.06,Women's Wear A,Clothing,Women's Wear,173.28,310.36,354.0,Supplier B,1.44,True,44.17
TXN000326,2024-01-21,PRD019,CUST0164,6,387.5,North,Michael Brown,Debit Card,2325.0,Thomas,White,william.williams@email.com,(703) 912-2609,San Antonio,GA,2023-03-10,Standard,21,8984.23,Kitchen Appliances A,Home & Garden,Kitchen Appliances,54.05,214.47,23.0,Supplier A,1.38,True,74.8
TXN000252,2024-01-21,PRD023,CUST0045,7,252.98,North,John Smith,Credit Card,1770.86,Elizabeth,Thomas,christopher.williams@email.com,(455) 845-9907,San Jose,FL,2023-01-15,Standard,36,6049.36,Fitness Equipment A,Sports,Fitness Equipment,14.54,468.17,258.0,Supplier D,4.27,True,96.89
TXN000573,2024-01-22,PRD010,CUST0077,2,435.76,North,Robert Garcia,Credit Card,871.52,William,Taylor,david.jones@email.com,(509) 530-3235,Chicago,AZ,2022-12-17,Basic,49,7441.5,Smart Watch B,Electronics,Smart Watch,188.13,488.99,135.0,Supplier D,0.35,True,61.53
TXN000323,2024-01-22,PRD009,CUST0172,6,20.84,Central,Michael Brown,PayPal,125.04,John,Miller,elizabeth.hernandez@email.com,(257) 727-3604,Phoenix,IL,2023-08-17,Standard,36,3466.04,Smart Watch A,Electronics,Smart Watch,314.02,51.4,370.0,Supplier A,4.53,True,-510.93
TXN000306,2024-01-23,PRD044,CUST0192,7,469.24,South,Mary Johnson,Cash,3284.6800000000003,Elizabeth,Johnson,susan.thomas@email.com,(685) 335-3837,Phoenix,NC,2023-11-24,Basic,2,7220.53,Accessories B,Clothing,Accessories,277.78,461.78,67.0,Supplier B,2.57,True,39.85
TXN000037,2024-01-23,PRD003,CUST0077,4,154.29,West,Jennifer Davis,PayPal,617.16,William,Taylor,david.jones@email.com,(509) 530-3235,Chicago,AZ,2022-12-17,Basic,49,7441.5,Smartphone A,Electronics,Smartphone,281.12,320.7,154.0,Supplier D,3.34,True,12.34
TXN000855,2024-01-23,PRD050,CUST0104,1,74.05,Central,Jennifer Davis,Debit Card,74.05,William,Thomas,william.miller@email.com,(275) 550-3787,Houston,TX,2022-11-08,Basic,49,3581.33,,,,,,,,,,
TXN000383,2024-01-23,PRD022,CUST0127,6,162.08,Central,Jennifer Davis,Credit Card,972.48,John,Davis,karen.martin@email.com,(656) 245-5313,Dallas,IL,2023-08-22,Basic,22,1945.56,Bedding B,Home & Garden,Bedding,197.95,336.9,328.0,Supplier D,0.83,True,41.24
TXN000898,2024-01-24,PRD032,CUST0140,5,224.43,Central,Robert Garcia,Credit Card,1122.15,Christopher,Moore,james.hernandez@email.com,(323) 975-8357,New York,PA,2022-12-15,Standard,30,8989.76,Fiction B,Books,Fiction,10.86,187.24,324.0,Supplier C,2.78,True,94.2
TXN000666,2024-01-24,PRD029,CUST0122,3,246.94,Central,Michael Brown,Debit Card,740.8199999999999,Barbara,Smith,elizabeth.white@email.com,(515) 607-8715,San Antonio,CA,2023-07-13,Basic,49,6770.19,Sports Accessories A,Sports,Sports Accessories,357.14,287.73,335.0,Supplier D,4.76,True,-24.12
TXN000432,2024-01-24,PRD031,CUST0186,3,448.46,West,Sarah Wilson,Credit Card,1345.38,Joseph,Rodriguez,christopher.white@email.com,(491) 228-7333,Los Angeles,IL,2022-08-03,Standard,14,3288.47,Fiction A,Books,Fiction,289.5,191.2,231.0,Supplier A,0.58,True,-51.41
TXN000046,2024-01-24,PRD044,CUST0119,3,21.01,West,Jennifer Davis,Credit Card,63.03,Susan,Garcia,charles.lee@email.com,(404) 299-1421,San Antonio,CA,2022-09-26,Basic,8,4011.03,Accessories B,Clothing,Accessories,277.78,461.78,67.0,Supplier B,2.57,True,39.85
TXN000096,2024-01-25,PRD021,CUST0118,3,138.51,North,Sarah Wilson,Debit Card,415.53,Daniel,Thomas,david.gonzalez@email.com,(501) 877-8869,Philadelphia,CA,2023-12-28,Standard,38,8465.89,Bedding A,Home & Garden,Bedding,212.45,348.8,316.0,Supplier A,2.22,True,39.09
TXN000946,2024-01-26,PRD047,CUST0070,5,269.85,South,John Smith,Debit Card,1349.25,Daniel,Davis,susan.martin@email.com,(333) 548-3907,San Diego,FL,2023-10-02,Standard,36,4890.22,,,,,,,,,,
TXN000451,2024-01-26,PRD006,CUST0080,9,282.13,East,Sarah Wilson,Credit Card,2539.17,Patricia,Martin,linda.moore@email.com,(378) 924-6846,Phoenix,OH,2023-03-06,Standard,13,5584.53,Tablet B,Electronics,Tablet,334.28,486.96,183.0,Supplier D,1.55,True,31.35
TXN000238,2024-01-26,PRD042,CUST0189,2,439.96,South,Lisa Martinez,Debit Card,879.92,Joseph,Brown,richard.martinez@email.com,(893) 411-5408,San Jose,CA,2022-12-22,Premium,7,6702.58,Women's Wear B,Clothing,Women's Wear,388.49,234.63,68.0,Supplier B,2.12,True,-65.58
TXN000210,2024-01-26,PRD004,CUST0044,1,123.52,West,Mary Johnson,Debit Card,123.52,Robert,Thompson,linda.wilson@email.com,(404) 858-9614,Chicago,GA,2023-06-21,Standard,43,6463.67,Smartphone B,Electronics,Smartphone,252.89,354.85,214.0,Supplier A,2.61,True,28.73
TXN000525,2024-01-26,PRD039,CUST0001,5,335.26,West,Lisa Martinez,Credit Card,1676.3,Karen,Garcia,david.davis@email.com,(717) 336-7461,San Antonio,CA,2022-06-06,Standard,38,6490.79,Men's Wear A,Clothing,Men's Wear,370.5,393.82,466.0,Supplier B,3.49,True,5.92
TXN000679,2024-01-27,PRD008,CUST0035,2,421.53,Central,Sarah Wilson,Credit Card,843.06,Linda,Brown,elizabeth.garcia@email.com,(230) 591-7990,Houston,GA,2023-03-05,Standard,16,3623.98,Headphones B,Electronics,Headphones,14.97,58.17,56.0,Supplier D,0.83,True,74.27
TXN000302,2024-01-27,PRD023,CUST0089,8,177.52,Central,Michael Brown,Credit Card,1420.16,Lisa,White,elizabeth.lee@email.com,(963) 279-4899,Houston,TX,2023-10-21,Standard,23,9525.42,Fitness Equipment A,Sports,Fitness Equipment,14.54,468.17,258.0,Supplier D,4.27,True,96.89
TXN000798,2024-01-27,PRD032,CUST0020,1,207.46,East,David Lee,Credit Card,207.46,William,Smith,susan.miller@email.com,(250) 893-5896,New York,OH,2023-03-02,Basic,17,3878.0,Fiction B,Books,Fiction,10.86,187.24,324.0,Supplier C,2.78,True,94.2
TXN000540,2024-01-27,PRD042,CUST0074,9,467.6,East,David Lee,PayPal,4208.400000000001,Linda,Lopez,patricia.jackson@email.com,(573) 274-7120,Dallas,PA,2023-02-21,Standard,23,1700.78,Women's Wear B,Clothing,Women's Wear,388.49,234.63,68.0,Supplier B,2.12,True,-65.58
TXN000687,2024-01-28,PRD027,CUST0116,4,337.1,South,Michael Brown,Debit Card,1348.4,Sarah,White,thomas.miller@email.com,(357) 255-6911,Houston,PA,2022-03-23,Premium,24,7442.11,Athletic Wear A,Sports,Athletic Wear,133.26,490.63,381.0,Supplier A,0.6,False,72.84
TXN000191,2024-01-28,PRD007,CUST0107,3,155.19,East,Lisa Martinez,Cash,465.57,Daniel,Gonzalez,elizabeth.lee@email.com,(808) 828-8909,Chicago,IL,2023-08-08,Basic,21,7645.53,Headphones A,Electronics,Headphones,223.77,456.52,352.0,Supplier D,1.72,True,50.98
TXN000667,2024-01-28,PRD040,CUST0062,2,404.94,South,Lisa Martinez,Credit Card,809.88,Michael,Martinez,robert.lee@email.com,(805) 228-6761,New York,IL,2022-09-06,Basic,18,2483.96,Men's Wear B,Clothing,Men's Wear,294.89,77.27,198.0,Supplier C,2.57,False,-281.64
TXN000792,2024-01-28,PRD026,CUST0048,8,440.21,North,Robert Garcia,Cash,3521.68,David,Hernandez,jessica.williams@email.com,(552) 779-9231,Houston,GA,2022-01-29,Basic,22,8257.58,Outdoor Gear B,Sports,Outdoor Gear,189.05,403.61,229.0,Supplier A,4.3,False,53.16
